,epoch,loss,accuracy,set
0,1,1.0099342830602247,-0.002765286023423693,train
1,1,1.0129537707620138,0.03046059712816051,validation
2,2,0.6619835991722,0.3286505941943498,train
3,2,0.9406751654010569,0.10625778549214912,validation
4,3,0.490610512281301,0.5108512008717193,train
5,3,0.8240649794770841,0.1573520715952615,validation
6,4,0.4048392454313207,0.561734395106844,train
7,4,0.7347324125805085,0.2195234801844114,validation
8,5,0.31307671092664485,0.6729516133185722,train
9,5,0.69612523277529,0.2574682116875799,validation
10,6,0.3150272610927168,0.7097701882759836,train
11,6,0.6680172307604251,0.30483836960906424,validation
12,7,0.23911234550949634,0.7522184517941973,train
13,7,0.6019801284515539,0.38251396036691343,validation
14,8,0.21020944842384612,0.7719439027819123,train
15,8,0.576201161873059,0.4488102695725318,validation
16,9,0.19973005550524134,0.778845781420882,train
17,9,0.5720064537976194,0.42002757144502395,validation
18,10,0.18599545371827694,0.7789884157042226,train
19,10,0.4997520684957156,0.47762143524369827,validation
20,11,0.18143599826657486,0.8367606989571328,train
21,11,0.4976870343522352,0.4939779260882142,validation
22,12,0.1242757140388053,0.831756961985952,train
23,12,0.4669777007712804,0.5449519683339021,validation
24,13,0.1497295086485121,0.8218820540356025,train
25,13,0.46102713393335043,0.5377528998462191,validation
26,14,0.11979489332721416,0.878900192443484,train
27,14,0.45540259914557124,0.5838429936866718,validation
28,15,0.10821564953554723,0.8688157524829757,train
29,15,0.4232919352947379,0.6028442358757805,validation
30,16,0.1080635740666236,0.8786397616431942,train
31,16,0.37787330051987944,0.5760758675183866,validation
32,17,0.12736162755899508,0.9160136894603053,train
33,17,0.3831751821837779,0.6354552733424559,validation
34,18,0.11249587839568952,0.8818344470131607,train
35,18,0.3775982824805386,0.660390360958949,validation
36,19,0.09928347921780098,0.9312928731162802,train
37,19,0.3047479550610623,0.6592951929446472,validation
38,20,0.09697903660285866,0.8987817577525874,train
39,20,0.34666280173760655,0.6154210355010856,validation
40,21,0.08651565315234067,0.916233160521144,train
41,21,0.3628912142281636,0.6563012623011938,validation
42,22,0.07078664968126668,0.9030083373891789,train
43,22,0.3408886875153318,0.6839943770319035,validation
44,23,0.07273812925799256,0.9269320153289338,train
45,23,0.3144415509869608,0.7068728998106578,validation
46,24,0.06595893812245296,0.9134467570680447,train
47,24,0.29518813996765986,0.6676993980070547,validation
48,25,0.08284548246436844,0.9282980285205209,train
49,25,0.2942199161916727,0.7011906102736736,validation
50,26,0.04576665923306578,0.9175130194706187,train
51,26,0.2788599953837503,0.6982401689012819,validation
52,27,0.06820285719525124,0.9366524457077193,train
53,27,0.3155014958019884,0.725713778478859,validation
54,28,0.0741165250558346,0.9295455644432973,train
55,28,0.2318948459642894,0.7291994522207454,validation
56,29,0.0678712708654872,0.9825981755830391,train
57,29,0.25931067544121966,0.7428730521098302,validation
58,30,0.0638218936381532,0.9121103102153514,train
59,30,0.2792667127005568,0.7586284042434791,validation
60,31,0.07832063894086094,0.9193122509041052,train
61,31,0.27805588621872196,0.7219629787441544,validation
62,32,0.07234320248206602,0.983203051910139,train
63,32,0.2240917125217765,0.7447716063835543,validation
64,33,0.06081655671351753,0.9311069575059113,train
65,33,0.20708196947391544,0.7632760214008824,validation
66,34,0.035896782868335045,0.9523289914698465,train
67,34,0.2141696548502076,0.7984405485654671,validation
68,35,0.039890489708830815,0.9380032141203309,train
69,35,0.24354307162012065,0.7481099863985936,validation
70,36,0.05860325274613665,0.9720888010315945,train
71,36,0.19007255753099767,0.7814704549484238,validation
72,37,0.05782923483233689,0.9630048784881778,train
73,37,0.19265229013026447,0.7561995633904883,validation
74,38,0.06172088259438924,0.9546576421826124,train
75,38,0.21777581445372604,0.794163006743131,validation
76,39,0.03639950556843019,0.9546450739432201,train
77,39,0.21419478279930693,0.7773796383061394,validation
78,40,0.08609597802777319,0.9606961706133577,train
79,40,0.18025556270900822,0.8090494395196154,validation
80,41,0.028125414214501186,0.9681226444558013,train
81,41,0.2231719115801481,0.7835863536329658,validation
82,42,0.06577915049186318,0.9617439906317532,train
83,42,0.21251963457243878,0.84185742828053,validation
84,43,0.04054678313448805,0.9394707312583048,train
85,43,0.17451740371518182,0.7913761019929989,validation
86,44,0.042902410256162364,0.9623785950518885,train
87,44,0.19421306126961926,0.8278644196977016,validation
88,45,0.043738298707123355,0.9855924206735811,train
89,45,0.17989204852042606,0.8692181981466073,validation
90,46,0.055066538444661826,0.9403036573823127,train
91,46,0.16040033185695957,0.8278312664866818,validation
92,47,0.03719741096014965,0.9726133432151752,train
93,47,0.18803618106289943,0.8199719931754339,validation
94,48,0.023880452169244143,0.9288867289756704,train
95,48,0.16650829744988763,0.8416893793952414,validation
96,49,0.04428187488260408,0.9350852244257603,train
97,49,0.1758774116204719,0.8352925544911285,validation
98,50,0.021538537550487142,0.9638588158444008,train
99,50,0.1706556997926488,0.8076490686196587,validation
100,51,0.04561728566850413,0.9727541520658263,train
101,51,0.1883276915301722,0.8544093743740314,validation
102,52,0.01018246169746195,0.9435076501450937,train
103,52,0.17423513157368137,0.846341292788736,validation
104,53,0.04733799076315799,1.0400175927760575,train
105,53,0.1727081327945085,0.8614209902229668,validation
106,54,0.055443671633500405,0.9766641886624796,train
107,54,0.1524247738373518,0.8564492256797066,validation
108,55,0.020257781423534276,0.9595493421509141,train
109,55,0.14654272904341792,0.8453874827877265,validation
110,56,0.08138089063171579,0.9275669768499194,train
111,56,0.16757135765364412,0.8138995287300531,validation
112,57,0.025044121304900985,0.9872962533186577,train
113,57,0.15280075189706074,0.8269299529262624,validation
