grad_norm,loss,loss_q0,loss_q1,loss_q2,loss_q3,mse,mse_q0,mse_q1,mse_q2,mse_q3,param_norm,samples,step,vb,vb_q0,vb_q1,vb_q2,vb_q3
36.344797759548186,42.62224923446774,1.1823548,1.0625951,1.0742868,333.27692,0.9893323816359043,0.94858533,1.0109913,1.0246252,0.9352639,157.63765333364125,16,0,41.632916394853964,0.23376945,0.051603813,0.049661692,332.34164
37.46599080358455,4.856755505129689,1.2429335,0.95530355,0.9891784,16.96746,0.9403533864766356,0.9838828,0.9092889,0.93917537,0.909691,157.64251278874139,176,10,3.9164022179553264,0.259051,0.04601452,0.05000284,16.057768
37.109279207162224,18.056432861089714,1.2240719,0.86856985,0.77933127,74.88976,0.809657261893153,0.90644324,0.8263751,0.74142605,0.7503066,157.66014546030286,336,20,17.24677566218888,0.31762874,0.042194802,0.03790512,74.13945
32.686040470756964,6.766832884028551,1.0595696,0.6956867,0.6630551,24.665579,0.68050908241421,0.8462903,0.6623969,0.62917715,0.59170574,157.67619722619966,496,30,6.086323889263443,0.21327922,0.033289637,0.03387786,24.073874
25.908195537769465,5.452342142164705,0.9872219,0.59322315,0.52852947,21.191143,0.600110720098019,0.81078005,0.5648673,0.50274837,0.48030728,157.6888179106497,656,40,4.852231469866826,0.176442,0.028355954,0.025781173,20.710823
22.76626087727247,2.5096336752176263,0.9999004,0.517905,0.42665753,7.0789685,0.5100513854995371,0.7506375,0.49248314,0.405909,0.3875197,157.704731516076,816,50,1.9995823130302626,0.24926303,0.02542176,0.020748565,6.691449
21.78377109096189,3.853444161545483,0.94050735,0.47176567,0.35738158,14.029957,0.43660516152158346,0.67586464,0.4489343,0.3398802,0.30072942,157.72400637238982,976,60,3.416838958638257,0.26464272,0.022831406,0.017501391,13.72922
19.17137987803446,1.4191393929533667,0.8451226,0.3976958,0.30325893,4.2636657,0.3858078190125526,0.66496843,0.37811285,0.2882598,0.23616228,157.74481745953088,1136,70,1.0333315676078203,0.18015411,0.01958299,0.014999153,4.0275044
17.974471697015183,3.582190902344884,0.81059515,0.34944186,0.25810426,10.738423,0.3639430934563281,0.64266515,0.33195418,0.24521148,0.19578879,157.7643528593535,1296,80,3.2182477864203975,0.16792996,0.01748766,0.012892722,10.542637
18.54083027357618,2.358197382371874,0.98961437,0.34444764,0.23739003,7.133996,0.3409176579676569,0.65171367,0.32710332,0.22565344,0.15233143,157.78512370009673,1456,90,2.017279719203364,0.3379006,0.017344296,0.011736518,6.981662
17.532044765238712,0.3876727264840155,0.86664265,0.3322164,0.20377798,0.15226349,0.3156043814960868,0.61447906,0.31554443,0.19382559,0.12790667,157.8053962731444,1616,100,0.07206834580283616,0.2521639,0.016671909,0.009952466,0.02435681
17.055836693138204,1.4426442655269065,1.0838522,0.30441618,0.1941521,4.9226146,0.3202294501475989,0.6854577,0.28906962,0.18484382,0.118366234,157.82401192976815,1776,110,1.1224148286652065,0.39839455,0.015346531,0.0093082925,4.8042493
15.351730168964089,1.1916292813606557,0.75717974,0.28228045,0.18131286,3.1451123,0.26034182338044026,0.5467154,0.26802778,0.172583,0.09821921,157.8440803765515,1936,120,0.9312874599010681,0.21046448,0.014252701,0.008729855,3.0468938
16.344419775331435,0.9276706339325758,0.62614214,0.25075084,0.15630375,2.429023,0.2467370518017559,0.50941366,0.2385549,0.14860755,0.079289176,157.86143355930204,2096,130,0.6809335658152117,0.11672879,0.012195858,0.0076962495,2.3497336
18.025904729062344,1.5140086599159979,0.9499117,0.25734565,0.14572692,4.143084,0.2503293472342192,0.57974154,0.24417847,0.13854499,0.07752163,157.8780485068791,2256,140,1.2636793099663928,0.37017012,0.0131672025,0.0071819266,4.0655637
16.267301465433466,1.1077290304005136,0.6505373,0.24824086,0.1408934,3.2249758,0.23538953762035825,0.4963245,0.23573337,0.13380316,0.07333565,157.89309445914512,2416,150,0.8723394871572964,0.15421288,0.012507543,0.007090231,3.151641
13.748619080939733,0.41156353256665185,0.5873684,0.22939327,0.13972509,0.8530676,0.19620566831435995,0.4723735,0.21813872,0.13282521,0.06804338,157.90622351206235,2576,160,0.2153578662051586,0.11499495,0.011254493,0.006899855,0.7850243
15.595518786448206,0.8120394734432919,0.72196627,0.23680244,0.13815111,1.916189,0.22243721719132736,0.5099853,0.22473286,0.13147448,0.056116886,157.92033342239097,2736,170,0.5896022629298387,0.21198092,0.012069559,0.0066766012,1.860073
17.001906145247062,0.5803512543905524,0.63255316,0.20488258,0.1369066,1.2030972,0.22326456338632858,0.51403004,0.19493283,0.1303447,0.055170037,157.9358369587521,2896,180,0.3570866903770364,0.11852291,0.009949736,0.0065619336,1.1479273
17.253528296594684,0.3980299363378434,0.65411377,0.2018904,0.12850265,0.72737896,0.2182923519634642,0.45924336,0.19175474,0.122190475,0.049492665,157.94960066853838,3056,190,0.17973757952277097,0.19487038,0.010135644,0.00631217,0.67788607
18.275876134958505,0.4266633862862361,0.82271874,0.21440503,0.11380401,0.5908555,0.22334170452086238,0.5120844,0.20365195,0.10801462,0.05206638,157.96225067984045,3216,200,0.20332167932356252,0.31063443,0.010753039,0.0057893964,0.5387892
17.409960809853693,0.49624515704344957,0.8245994,0.20626234,0.1207903,0.77695924,0.2185125811607577,0.5036421,0.19582519,0.114786945,0.04454375,157.97490104960661,3376,210,0.2777325759408997,0.3209576,0.010437131,0.006003362,0.7324154
